"INDV","N_SITES.x","MEAN_DEPTH","N_DATA","N_GENOTYPES_FILTERED","N_MISS","F_MISS","O.HOM.","E.HOM.","N_SITES.y","Fis","POP","Sample","Lib","Index","Row"
"Gaa-GSW1_MGL-19823_Lib1_I11",29533,43.3383,29538,0,1398,0.0473289,17896,15782.2,20082,0.49161,"Gaa-GSW1","MGL-19823","Lib1","I11",NA
"Gaa-HEAD_MGL-16135_Lib1_I9",29538,170.459,29538,0,600,0.0203128,18307,16183.4,20578,0.48323,"Gaa-HEAD","MGL-16135","Lib1","I9",NA
"Gaa-HEAD_MGL-16138_Lib1_I11",29493,100.456,29538,0,876,0.0296567,18349,16037.4,20394,0.5306,"Gaa-HEAD","MGL-16138","Lib1","I11",NA
"Gaa-HEAD_MGL-16139_Lib1_I7",29523,186.739,29538,0,695,0.023529,18399,16124.6,20505,0.51923,"Gaa-HEAD","MGL-16139","Lib1","I7",NA
"Gaa-HEAD_MGL-16146_Lib1_I11",29527,163.034,29538,0,829,0.0280655,17996,16059.1,20416,0.44456,"Gaa-HEAD","MGL-16146","Lib1","I11",NA
"Gaa-HEAD_MGL-16163_Lib1_I11",29538,166.23,29538,0,752,0.0254587,17962,16100.5,20467,0.42631,"Gaa-HEAD","MGL-16163","Lib1","I11",NA
"Gaa-LCCSP_MGL-19742_Lib1_I7",29526,272.624,29538,0,344,0.011646,18736,16328.2,20774,0.54159,"Gaa-LCCSP","MGL-19742","Lib1","I7",NA
"Gaa-LCCSP_MGL-19744_Lib1_I9",29538,59.3263,29538,0,381,0.0128986,18283,16328.8,20776,0.43942,"Gaa-LCCSP","MGL-19744","Lib1","I9",NA
"Gaa-LCCSP_MGL-19745_Lib1_I11",29529,56.5261,29538,0,425,0.0143882,18172,16290.4,20722,0.42458,"Gaa-LCCSP","MGL-19745","Lib1","I11",NA
"Gaa-LCCSP_MGL-19746_Lib1_I9",29538,140.308,29538,0,315,0.0106642,18633,16355.4,20808,0.51152,"Gaa-LCCSP","MGL-19746","Lib1","I9",NA
"Gaa-LCCSP_MGL-19747_Lib1_I2",29517,290.103,29538,0,354,0.0119846,18564,16329.7,20778,0.50228,"Gaa-LCCSP","MGL-19747","Lib1","I2",NA
"Gaa-LCCSP_MGL-19749_Lib1_I8",29538,53.8678,29538,0,837,0.0283364,18243,16127.8,20531,0.48038,"Gaa-LCCSP","MGL-19749","Lib1","I8",NA
"Gaa-LCCSP_MGL-19750_Lib1_I7",29538,92.5922,29538,0,392,0.013271,18550,16318.3,20752,0.50335,"Gaa-LCCSP","MGL-19750","Lib1","I7",NA
"Gaa-LCCSP_MGL-19751_Lib1_I8",29529,122.042,29538,0,375,0.0126955,18443,16328,20774,0.47571,"Gaa-LCCSP","MGL-19751","Lib1","I8",NA
"Gaa-LCCSP_MGL-19751_Lib2_I10",29529,132.551,29538,0,359,0.0121538,18440,16320.3,20765,0.4769,"Gaa-LCCSP","MGL-19751","Lib2","I10",NA
"Gaa-LCCSP_MGL-19752_Lib1_I7",29538,130.71,29538,0,245,0.0082944,18180,16394.2,20854,0.40042,"Gaa-LCCSP","MGL-19752","Lib1","I7",NA
"Gaa-LCCSP_MGL-19753_Lib1_I7",29538,155.627,29538,0,223,0.0075496,18576,16387.2,20848,0.49067,"Gaa-LCCSP","MGL-19753","Lib1","I7",NA
"Gaa-LCCSP_MGL-19754_Lib1_I11",29538,250.371,29538,0,230,0.00778658,18651,16376,20832,0.51055,"Gaa-LCCSP","MGL-19754","Lib1","I11",NA
"Gaa-LCCSP_MGL-19754_Lib2_I6",29538,160.951,29538,0,310,0.010495,18586,16323.5,20767,0.50917,"Gaa-LCCSP","MGL-19754","Lib2","I6",NA
"Gaa-LCCSP_MGL-19755_Lib1_I9",29538,196.959,29538,0,228,0.00771887,18617,16403.3,20865,0.49616,"Gaa-LCCSP","MGL-19755","Lib1","I9",NA
"Gaa-LCCSP_MGL-19756_Lib1_I2",29538,262.168,29538,0,254,0.00859909,18520,16379,20835,0.48048,"Gaa-LCCSP","MGL-19756","Lib1","I2",NA
"Gaa-LCCSP_MGL-19757_Lib1_I8",29537,372.136,29538,0,233,0.00788814,18353,16386,20839,0.44173,"Gaa-LCCSP","MGL-19757","Lib1","I8",NA
"Gaa-LCCSP_MGL-19757_Lib2_I6",29537,160.196,29538,0,309,0.0104611,18296,16338.1,20777,0.44107,"Gaa-LCCSP","MGL-19757","Lib2","I6",NA
"Gaa-LCCSP_MGL-19758_Lib1_I9",29538,273.312,29538,0,146,0.00494279,18578,16434.1,20901,0.47995,"Gaa-LCCSP","MGL-19758","Lib1","I9",NA
"Gaa-LCCSP_MGL-19759_Lib1_I11",29538,339.836,29538,0,188,0.00636468,18626,16415,20879,0.4953,"Gaa-LCCSP","MGL-19759","Lib1","I11",NA
"Gaa-LCCSP_MGL-19759_Lib2_I1",29538,95.1894,29538,0,273,0.00924233,18547,16358.9,20808,0.49181,"Gaa-LCCSP","MGL-19759","Lib2","I1",NA
"Gaa-LCCSP_MGL-19760_Lib1_I9",29538,289.201,29538,0,204,0.00690636,18550,16399.7,20863,0.48177,"Gaa-LCCSP","MGL-19760","Lib1","I9",NA
"Gaa-LCCSP_MGL-19761_Lib1_I2",29529,200.001,29538,0,328,0.0111043,18474,16342.4,20784,0.47991,"Gaa-LCCSP","MGL-19761","Lib1","I2",NA
"Gaa-LCCSP_MGL-19762_Lib1_I7",29538,29.3857,29538,0,2194,0.0742772,17454,15458.4,19709,0.46949,"Gaa-LCCSP","MGL-19762","Lib1","I7",NA
