"INDV","N_SITES.x","MEAN_DEPTH","N_DATA","N_GENOTYPES_FILTERED","N_MISS","F_MISS","O.HOM.","E.HOM.","N_SITES.y","Fis","POP","Sample","Lib","Index","Row"
"Gaa-LCCSP_MGL-19774_Lib1_I11",16092,88.5328,16092,0,65,0.00403927,14859,13747.8,15227,0.75122,"Gaa-LCCSP","MGL-19774","Lib1","I11",NA
"Gag-ES_MGL-16340_Lib1_I2",16092,94.2658,16092,0,171,0.0106264,14207,13658.7,15127,0.37344,"Gag-ES","MGL-16340","Lib1","I2",NA
"Gag-ES_MGL-16341_Lib1_I2",16092,103.677,16092,0,175,0.010875,14223,13647.8,15121,0.39045,"Gag-ES","MGL-16341","Lib1","I2",NA
"Gan-CHS_MGL-16358_Lib1_I8",16092,83.2592,16092,0,10,0.000621427,14282,13799.5,15283,0.32526,"Gan-CHS","MGL-16358","Lib1","I8",NA
"Gan-CHS_MGL-16359_Lib1_I7",16092,138.364,16092,0,15,0.00093214,14282,13792.3,15276,0.33006,"Gan-CHS","MGL-16359","Lib1","I7",NA
"Gan-CHS_MGL-16360_Lib1_I9",16092,145.385,16092,0,24,0.00149142,14383,13784.6,15266,0.40394,"Gan-CHS","MGL-16360","Lib1","I9",NA
"Gan-CHS_MGL-16361_Lib1_I7",16092,36.0841,16092,0,178,0.0110614,14156,13647.4,15120,0.34539,"Gan-CHS","MGL-16361","Lib1","I7",NA
"Gan-CHS_MGL-16362_Lib1_I2",16092,124.744,16092,0,31,0.00192642,14358,13778.5,15259,0.39141,"Gan-CHS","MGL-16362","Lib1","I2",NA
"Gan-CHS_MGL-16363_Lib1_I2",16090,259.687,16092,0,26,0.00161571,14283,13784.4,15265,0.33676,"Gan-CHS","MGL-16363","Lib1","I2",NA
"Gan-CHS_MGL-16364_Lib1_I8",16092,188.998,16092,0,26,0.00161571,14412,13782.8,15265,0.42449,"Gan-CHS","MGL-16364","Lib1","I8",NA
"Gan-CHS_MGL-16365_Lib1_I8",16092,187.048,16092,0,40,0.00248571,14304,13770.6,15252,0.36007,"Gan-CHS","MGL-16365","Lib1","I8",NA
"Gan-CHS_MGL-16366_Lib1_I8",16092,49.787,16092,0,476,0.0295799,14031,13393,14843,0.44001,"Gan-CHS","MGL-16366","Lib1","I8",NA
"Gan-CHS_MGL-16367_Lib1_I9",16092,85.4866,16092,0,37,0.00229928,14192,13775,15256,0.28159,"Gan-CHS","MGL-16367","Lib1","I9",NA
"Gan-CHS_MGL-16368_Lib1_I9",16092,25.2284,16092,0,1094,0.0679841,13296,12856.1,14256,0.31425,"Gan-CHS","MGL-16368","Lib1","I9",NA
"Gan-CHS_MGL-16369_Lib1_I7",16092,232.017,16092,0,5,0.000310713,14265,13801.8,15285,0.3123,"Gan-CHS","MGL-16369","Lib1","I7",NA
"Gan-CHS_MGL-16372_Lib1_I7",16092,90.2211,16092,0,10,0.000621427,14153,13798.3,15281,0.23923,"Gan-CHS","MGL-16372","Lib1","I7",NA
"Gan-CHS_MGL-16373_Lib1_I9",16092,35.9964,16092,0,435,0.0270321,13901,13421.9,14874,0.32993,"Gan-CHS","MGL-16373","Lib1","I9",NA
"Gan-CHS_MGL-16374_Lib1_I7",16092,93.6052,16092,0,49,0.00304499,14352,13763,15243,0.39797,"Gan-CHS","MGL-16374","Lib1","I7",NA
"Gan-CHS_MGL-16375_Lib1_I2",16092,128.744,16092,0,45,0.00279642,14310,13766.9,15247,0.36691,"Gan-CHS","MGL-16375","Lib1","I2",NA
"Gan-CHS_MGL-16375_Lib1_I8",16090,252.373,16092,0,21,0.001305,14334,13788.3,15271,0.36805,"Gan-CHS","MGL-16375","Lib1","I8",NA
"Gan-CHS_MGL-16377_Lib1_I2",16092,40.8487,16092,0,894,0.0555556,13170,13026.8,14442,0.10121,"Gan-CHS","MGL-16377","Lib1","I2",NA
"Gan-CHS_MGL-16378_Lib1_I8",16092,119.065,16092,0,16,0.000994283,14421,13793.8,15276,0.42314,"Gan-CHS","MGL-16378","Lib1","I8",NA
"Gan-CHS_MGL-16379_Lib1_I8",16088,56.4128,16092,0,392,0.0243599,14017,13458.5,14916,0.38321,"Gan-CHS","MGL-16379","Lib1","I8",NA
"Gan-CHS_MGL-16380_Lib1_I9",16092,66.6336,16092,0,267,0.0165921,14098,13576.2,15043,0.35576,"Gan-CHS","MGL-16380","Lib1","I9",NA
"Gan-CHS_MGL-16383_Lib1_I9",16092,189.755,16092,0,18,0.00111857,14266,13789.8,15272,0.32127,"Gan-CHS","MGL-16383","Lib1","I9",NA
"Gan-CHS_MGL-16386_Lib1_I11",16092,162.432,16092,0,19,0.00118071,14400,13792.4,15274,0.41009,"Gan-CHS","MGL-16386","Lib1","I11",NA
"Gan-CHS_MGL-16387_Lib1_I11",16092,205.274,16092,0,14,0.000869998,13058,13794.2,15277,-0.49649,"Gan-CHS","MGL-16387","Lib1","I11",NA
"Gan-CHS_MGL-16387_Lib1_I9",16092,64.1949,16092,0,39,0.00242356,13019,13772,15253,-0.50844,"Gan-CHS","MGL-16387","Lib1","I9",NA
"Gan-CHS_MGL-16388_Lib1_I11",16092,175.475,16092,0,11,0.000683569,14362,13797.5,15279,0.38102,"Gan-CHS","MGL-16388","Lib1","I11",NA
"Gan-CHS_MGL-16388_Lib1_I7",16092,69.2839,16092,0,35,0.00217499,14331,13773.6,15256,0.37603,"Gan-CHS","MGL-16388","Lib1","I7",NA
"Gan-CHS_MGL-16389_Lib1_I2",16092,84.3455,16092,0,187,0.0116207,14121,13640.9,15111,0.3266,"Gan-CHS","MGL-16389","Lib1","I2",NA
"Gan-CHS_MGL-16390_Lib1_I11",16092,80.9591,16092,0,2,0.000124285,14433,13805.7,15289,0.42292,"Gan-CHS","MGL-16390","Lib1","I11",NA
"Gan-CHS_MGL-16392_Lib1_I9",16092,100.102,16092,0,5,0.000310713,14207,13802,15285,0.27309,"Gan-CHS","MGL-16392","Lib1","I9",NA
"Gan-CHS_MGL-16393_Lib1_I7",16092,122.277,16092,0,8,0.000497141,14355,13798.7,15282,0.37504,"Gan-CHS","MGL-16393","Lib1","I7",NA
"Gan-ES_MGL-16286_Lib1_I11",16092,109.173,16092,0,28,0.00174,14267,13783.6,15266,0.3261,"Gan-ES","MGL-16286","Lib1","I11",NA
"Gan-ES_MGL-16294_Lib1_I8",16092,209.317,16092,0,32,0.00198857,14397,13776.8,15258,0.41871,"Gan-ES","MGL-16294","Lib1","I8",NA
"Gan-ES_MGL-16294_Lib2_I8",16092,36.2658,16092,0,1096,0.0681084,13407,12845.6,14249,0.40004,"Gan-ES","MGL-16294","Lib2","I8",NA
"Gan-ES_MGL-16304_Lib1_I9",16092,126.424,16092,0,14,0.000869998,14391,13796.8,15278,0.40117,"Gan-ES","MGL-16304","Lib1","I9",NA
"Gan-ES_MGL-16308_Lib1_I2",16092,56.5237,16092,0,252,0.01566,14089,13587.9,15052,0.34228,"Gan-ES","MGL-16308","Lib1","I2",NA
"Gan-ES_MGL-16310_Lib1_I8",16092,198.335,16092,0,9,0.000559284,14365,13798.3,15281,0.38222,"Gan-ES","MGL-16310","Lib1","I8",NA
"Gan-ES_MGL-16310_Lib2_I6",16092,27.6431,16092,0,1396,0.0867512,13042,12584,13964,0.33188,"Gan-ES","MGL-16310","Lib2","I6",NA
"Gan-ES_MGL-16311_Lib1_I8",16092,205.639,16092,0,26,0.00161571,14384,13781.9,15265,0.40596,"Gan-ES","MGL-16311","Lib1","I8",NA
"Gan-ES_MGL-16311_Lib2_I6",16092,22.1358,16092,0,1843,0.114529,12678,12179.6,13537,0.36719,"Gan-ES","MGL-16311","Lib2","I6",NA
"Gan-ES_MGL-16312_Lib1_I8",16092,71.9065,16092,0,155,0.00963212,14250,13670.2,15141,0.3942,"Gan-ES","MGL-16312","Lib1","I8",NA
"Gan-ES_MGL-16314_Lib1_I2",16092,142.704,16092,0,38,0.00236142,14318,13774.8,15254,0.36721,"Gan-ES","MGL-16314","Lib1","I2",NA
"Gan-ES_MGL-16315_Lib1_I7",16092,138.902,16092,0,1,6.21427e-05,14190,13805.2,15289,0.25933,"Gan-ES","MGL-16315","Lib1","I7",NA
"Gan-ES_MGL-16317_Lib1_I8",16092,211.742,16092,0,48,0.00298285,14306,13764.2,15246,0.36565,"Gan-ES","MGL-16317","Lib1","I8",NA
"Gan-ES_MGL-16319_Lib1_I8",16092,83.3935,16092,0,55,0.00341785,14261,13756.7,15236,0.34088,"Gan-ES","MGL-16319","Lib1","I8",NA
"Gan-ES_MGL-16328_Lib1_I9",16092,86.9299,16092,0,221,0.0137335,13994,13620.1,15085,0.25524,"Gan-ES","MGL-16328","Lib1","I9",NA
"Gan-ES_MGL-16331_Lib1_I9",16092,192.246,16092,0,36,0.00223714,14392,13774.1,15255,0.41724,"Gan-ES","MGL-16331","Lib1","I9",NA
"Gan-ES_MGL-16333_Lib1_I9",16092,160.182,16092,0,24,0.00149142,14372,13785.3,15267,0.39598,"Gan-ES","MGL-16333","Lib1","I9",NA
"Gan-ES_MGL-16335_Lib1_I9",16092,60.6209,16092,0,96,0.0059657,14231,13721.7,15199,0.34475,"Gan-ES","MGL-16335","Lib1","I9",NA
"Gan-ES_MGL-16348_Lib1_I7",16092,57.1384,16092,0,44,0.00273428,14383,13770.7,15250,0.41392,"Gan-ES","MGL-16348","Lib1","I7",NA
"Gan-ES_MGL-16349_Lib1_I7",16084,17.0862,16092,0,1389,0.0863162,13047,12606.9,13985,0.31935,"Gan-ES","MGL-16349","Lib1","I7",NA
"Gan-ES_MGL-16351_Lib1_I9",16092,307.865,16092,0,33,0.00205071,14404,13777.6,15258,0.42314,"Gan-ES","MGL-16351","Lib1","I9",NA
"Gan-ES_MGL-16353_Lib1_I11",16092,108.501,16092,0,111,0.00689784,14337,13712.5,15186,0.42384,"Gan-ES","MGL-16353","Lib1","I11",NA
"Gan-ES_MGL-16356_Lib1_I7",16092,136.837,16092,0,26,0.00161571,14278,13786.5,15267,0.33197,"Gan-ES","MGL-16356","Lib1","I7",NA
"Gan-ES_MGL-16357_Lib1_I7",16092,16.863,16092,0,1788,0.111111,12601,12232.7,13581,0.27317,"Gan-ES","MGL-16357","Lib1","I7",NA
"Gan-EU_MGL-16423_Lib1_I8",16092,95.008,16092,0,12,0.000745712,14923,13796.8,15280,0.7593,"Gan-EU","MGL-16423","Lib1","I8",NA
"Gan-EU_MGL-16424_Lib1_I9",16092,37.137,16092,0,224,0.01392,14724,13609.1,15077,0.75952,"Gan-EU","MGL-16424","Lib1","I9",NA
"Gan-EU_MGL-16425_Lib1_I2",16092,239.216,16092,0,14,0.000869998,14843,13793.9,15276,0.70784,"Gan-EU","MGL-16425","Lib1","I2",NA
"Gan-EU_MGL-16426_Lib1_I2",16092,405.673,16092,0,16,0.000994283,14907,13791.5,15274,0.75244,"Gan-EU","MGL-16426","Lib1","I2",NA
"Gan-EU_MGL-16428_Lib1_I7",16092,237.788,16092,0,8,0.000497141,14915,13799.6,15283,0.75191,"Gan-EU","MGL-16428","Lib1","I7",NA
"Gan-EU_MGL-16429_Lib1_I11",16092,350.617,16092,0,9,0.000559284,14906,13799.3,15283,0.7459,"Gan-EU","MGL-16429","Lib1","I11",NA
"Gan-EU_MGL-16431_Lib1_I8",16092,48.8552,16092,0,232,0.0144171,14703,13600.9,15070,0.75019,"Gan-EU","MGL-16431","Lib1","I8",NA
"Gan-EU_MGL-16432_Lib1_I11",16092,297.752,16092,0,3,0.000186428,14931,13803.6,15287,0.76002,"Gan-EU","MGL-16432","Lib1","I11",NA
"Gan-EU_MGL-16435_Lib1_I11",16092,657.193,16092,0,5,0.000310713,14903,13801.7,15285,0.74246,"Gan-EU","MGL-16435","Lib1","I11",NA
"Gan-EU_MGL-16435_Lib2_I10",16092,101.277,16092,0,67,0.00416356,14837,13747.8,15225,0.73735,"Gan-EU","MGL-16435","Lib2","I10",NA
"Gan-EU_MGL-16437_Lib1_I7",16092,384.584,16092,0,7,0.000434999,14868,13800.9,15284,0.7195,"Gan-EU","MGL-16437","Lib1","I7",NA
"Gan-EU_MGL-16438_Lib1_I7",16092,659.951,16092,0,2,0.000124285,14929,13804.2,15288,0.75805,"Gan-EU","MGL-16438","Lib1","I7",NA
"Gan-EU_MGL-16438_Lib2_I6",16092,56.651,16092,0,291,0.0180835,14648,13542.8,15008,0.75431,"Gan-EU","MGL-16438","Lib2","I6",NA
"Gan-EU_MGL-16439_Lib1_I11",16092,112.419,16092,0,25,0.00155357,14832,13784.5,15266,0.70706,"Gan-EU","MGL-16439","Lib1","I11",NA
"Gan-EU_MGL-16440_Lib1_I11",16092,217.031,16092,0,4,0.000248571,14945,13803.4,15286,0.76999,"Gan-EU","MGL-16440","Lib1","I11",NA
"Gan-EU_MGL-16441_Lib1_I2",16092,164.836,16092,0,72,0.00447427,14891,13741.3,15220,0.77751,"Gan-EU","MGL-16441","Lib1","I2",NA
"Gan-EU_MGL-16442_Lib1_I7",16092,643.315,16092,0,0,0,14900,13806.2,15290,0.73716,"Gan-EU","MGL-16442","Lib1","I7",NA
"Gan-EU_MGL-16443_Lib1_I11",16092,269.34,16092,0,1,6.21427e-05,14932,13805.2,15289,0.7594,"Gan-EU","MGL-16443","Lib1","I11",NA
